artist,ontour,listeners,playcount
Austin Basham,0,129738,629692
Boyce Avenue,1,640431,16966939
Eastmountainsouth,0,67199,534363
Peter Bradley Adams,0,392979,3318705
Suy Galvez,0,663,10868
Howlin' Wolf,0,778743,10256412
Buddy Guy,1,659219,7624070
Mance Lipscomb,0,34839,232540
Violent Femmes,0,1412850,23168164
Drei Rana,0,1946,6355
Harley Poe,0,107100,4163049
Trevor Hall,0,232795,2860089
Colin & Caroline,0,123602,591564
Ysabelle Cuevas,0,30853,150474
Ethan Loukas,0,3906,20892
Penny and Sparrow,1,144054,1754362
Sonny Boy Williamson II,0,144739,948227
Shannon & Keast,0,10162,60779
Mia Rollo,0,1063,5069
AJJ,0,385519,22373619
SANNA NORTH,0,2100,6865
Pigeon Pit,0,86755,2873191
Kris Allen,0,312457,6594468
Lúc,0,23740,97694
Edy Hafler,0,19922,104868
Mat Kearney,0,803903,12440300
Allman Brown,0,153234,1071131
Sara Farell,0,119801,681762
Sakura Fujiwara,0,10778,117535
Eddie van der Meer,0,46605,670665
Drei Rana,0,1946,6355
Trevor Hall,0,232795,2860089
Maris Racal,0,8432,65839
Apes of the State,1,44225,1175704
Gail Blanco,0,2541,24683
Adam Christopher,0,56976,273096
Emilie Mover,0,27478,174950
William Fitzsimmons,0,788366,16373830
Vivid Color,0,28348,93143
Albert Collins,0,267471,1767134
Jon McLaughlin,0,426774,6007717
EJ De Perio,0,1710,5593
Beyond The Guitar,0,19393,205802
Yosui Inoue,0,24658,184601
Hannah's Yard,0,13716,50562
Vendredi,0,26084,176755
Chris Cresswell,0,7507,172626
Chuck Ragan,1,101626,4881412
Tim Vantol,0,19112,493033
Chad Hates George,0,10987,164634
Acoustic Guitar Collective,0,7882,68122
Jules Larson,0,64492,245381
Rosi Golan,0,136049,1250846
Eddie Vedder,0,1226394,37317453
Will Moore,0,8762,33396
C.W. Stoneking,1,113025,1324733
Johnnyswim,1,204310,1660232
Drew Holcomb,0,36128,206598
Marc Broussard,1,269467,2288793
Days N Daze,0,71680,2965848
Mindy Smith,0,171340,1251403
Anya Marina,0,357322,3660147
SafetySuit,0,194838,3438967
Boyce Avenue,1,640431,16966939
A Great Big World,0,780769,7877170
Kaiak,0,24532,112945
Filip Nordin,0,8566,57239
Sara Bareilles,0,1934077,38118373
